playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
altuvjo01,2019,1,HOU,AL,SS,1,0,6,0,0,1,0,,,,,
alvarjo02,2019,1,PHI,NL,P,67,1,177,5,13,0,0,,,,,
alvarjo03,2019,1,TBA,AL,P,35,1,90,1,4,1,0,,,,,
alvaryo01,2019,1,HOU,AL,OF,10,9,198,9,1,1,0,,,,,
alzolad01,2019,1,CHN,NL,P,4,2,37,2,1,1,0,,,,,
anderbr04,2019,1,OAK,AL,P,31,31,528,5,25,3,1,,,,,
anderbr06,2019,1,MIA,NL,3B,67,64,1760,47,126,4,14,,,,,
anderbr06,2019,1,MIA,NL,OF,55,55,1373,97,9,3,1,,,,,
anderch01,2019,1,MIL,NL,P,32,27,417,4,15,1,0,,,,,
anderco01,2019,1,CLE,AL,P,5,2,26,0,1,0,0,,,,,
anderdr02,2019,1,PHI,NL,P,2,0,18,0,1,0,0,,,,,
anderju01,2019,1,LAA,AL,P,54,0,141,2,2,0,0,,,,,
anderni01,2019,1,MIA,NL,P,45,0,131,2,4,1,0,,,,,
anderni01,2019,2,TBA,AL,P,23,0,64,0,0,0,0,,,,,
andersh01,2019,1,SFN,NL,P,28,16,288,10,14,2,2,,,,,
anderta01,2019,1,OAK,AL,P,5,5,67,3,3,0,0,,,,,
anderti01,2019,1,CHA,AL,SS,122,122,3150,182,324,26,75,,,,,
anderty01,2019,1,COL,NL,P,5,5,62,2,1,0,0,,,,,
andrima01,2019,1,ARI,NL,P,54,0,212,6,12,2,1,,,,,
andruel01,2019,1,TEX,AL,SS,146,146,3838,205,379,13,80,,,,,
andujmi01,2019,1,NYA,AL,3B,4,4,99,0,7,3,0,,,,,
aquinar01,2019,1,CIN,NL,1B,1,0,1,0,0,0,0,,,,,
aquinar01,2019,1,CIN,NL,OF,54,53,1393,97,3,2,0,,,,,
aranovi01,2019,1,PHI,NL,P,3,0,14,0,0,0,0,,,,,
araujpe01,2019,1,BAL,AL,P,1,0,2,0,0,0,0,,,,,
archech01,2019,1,PIT,NL,P,23,23,359,7,14,1,0,,,,,
arciaor01,2019,1,MIL,NL,SS,150,139,3724,208,350,14,79,,,,,
arenano01,2019,1,COL,NL,3B,154,151,3959,111,337,9,43,,,,,
armenro01,2019,1,HOU,AL,P,5,2,54,1,1,0,0,,,,,
armstsh01,2019,1,SEA,AL,P,4,0,11,0,0,0,0,,,,,
armstsh01,2019,2,BAL,AL,P,51,0,163,1,2,0,0,,,,,
arozara01,2019,1,SLN,NL,OF,11,4,131,11,1,0,0,,,,,
arraelu01,2019,1,MIN,AL,2B,49,42,1170,59,88,4,22,,,,,
arraelu01,2019,1,MIN,AL,3B,17,15,390,6,20,0,4,,,,,
arraelu01,2019,1,MIN,AL,OF,21,18,483,32,2,0,0,,,,,
arraelu01,2019,1,MIN,AL,SS,8,3,105,4,11,1,5,,,,,
arrieja01,2019,1,PHI,NL,P,24,24,407,13,26,3,3,,,,,
arroych01,2019,1,TBA,AL,2B,1,1,21,0,2,0,0,,,,,
arroych01,2019,1,TBA,AL,3B,13,13,336,8,22,2,3,,,,,
arteahu01,2019,1,KCA,AL,2B,2,2,28,3,2,0,1,,,,,
arteahu01,2019,1,KCA,AL,3B,1,0,3,0,0,0,0,,,,,
