00	0
01	1
02	2
03	3
04	4
05	5
06	6
07	7
08	8
09	9
0A	A
0B	B
0C	C
0D	D
0E	E
0F	F
10	G
11	H
12	I
13	J
14	K
15	L
16	M
17	N
18	O
19	P
1A	Q
1B	R
1C	S
1D	T
1E	U
1F	V
20	W
21	X
22	Y
23	Z
24b
25	.
26	(
27	)
28	a
29	b
2A	c
2B	d
2C	e
2D	f
2E	g
2F	h
30	i
31	j
32	k
33	l
34	m
35	n
36	o
37	p
38	q
39	r
3A	s
3B	t
3C	u
3D	v
3E	w
3F	x
40	y
41	z
42	'
